date,province,positive
2020-02-02,Gauteng,0
2020-02-02,Western Cape,0
2020-02-02,KwaZulu-Natal,0
2020-02-02,Eastern Cape,0
2020-02-02,Free State,0
2020-02-02,Unknown,0
2020-02-02,North West,0
2020-02-02,Mpumalanga,0
2020-02-02,Limpopo,0
2020-02-02,Northern Cape,0
2020-02-03,Gauteng,0
2020-02-03,Western Cape,0
2020-02-03,KwaZulu-Natal,0
2020-02-03,Eastern Cape,0
2020-02-03,Free State,0
2020-02-03,Unknown,0
2020-02-03,North West,0
2020-02-03,Mpumalanga,0
2020-02-03,Limpopo,0
2020-02-03,Northern Cape,0
2020-02-04,Gauteng,0
2020-02-04,Western Cape,0
2020-02-04,KwaZulu-Natal,0
2020-02-04,Eastern Cape,0
2020-02-04,Free State,0
2020-02-04,Unknown,0
2020-02-04,North West,0
2020-02-04,Mpumalanga,0
2020-02-04,Limpopo,0
2020-02-04,Northern Cape,0
2020-02-05,Gauteng,0
2020-02-05,Western Cape,0
2020-02-05,KwaZulu-Natal,0
2020-02-05,Eastern Cape,0
2020-02-05,Free State,0
2020-02-05,Unknown,0
2020-02-05,North West,0
2020-02-05,Mpumalanga,0
2020-02-05,Limpopo,0
2020-02-05,Northern Cape,0
2020-02-06,Gauteng,0
2020-02-06,Western Cape,0
2020-02-06,KwaZulu-Natal,0
2020-02-06,Eastern Cape,0
2020-02-06,Free State,0
2020-02-06,Unknown,0
2020-02-06,North West,0
2020-02-06,Mpumalanga,0
2020-02-06,Limpopo,0
2020-02-06,Northern Cape,0
2020-02-07,Gauteng,0
2020-02-07,Western Cape,0
2020-02-07,KwaZulu-Natal,0
2020-02-07,Eastern Cape,0
2020-02-07,Free State,0
2020-02-07,Unknown,0
2020-02-07,North West,0
2020-02-07,Mpumalanga,0
2020-02-07,Limpopo,0
2020-02-07,Northern Cape,0
2020-02-08,Gauteng,0
2020-02-08,Western Cape,0
2020-02-08,KwaZulu-Natal,0
2020-02-08,Eastern Cape,0
2020-02-08,Free State,0
2020-02-08,Unknown,0
2020-02-08,North West,0
2020-02-08,Mpumalanga,0
2020-02-08,Limpopo,0
2020-02-08,Northern Cape,0
2020-02-09,Gauteng,0
2020-02-09,Western Cape,0
2020-02-09,KwaZulu-Natal,0
2020-02-09,Eastern Cape,0
2020-02-09,Free State,0
2020-02-09,Unknown,0
2020-02-09,North West,0
2020-02-09,Mpumalanga,0
2020-02-09,Limpopo,0
2020-02-09,Northern Cape,0
2020-02-10,Gauteng,0
2020-02-10,Western Cape,0
2020-02-10,KwaZulu-Natal,0
2020-02-10,Eastern Cape,0
2020-02-10,Free State,0
2020-02-10,Unknown,0
2020-02-10,North West,0
2020-02-10,Mpumalanga,0
2020-02-10,Limpopo,0
2020-02-10,Northern Cape,0
2020-02-11,Gauteng,0
2020-02-11,Western Cape,0
2020-02-11,KwaZulu-Natal,0
2020-02-11,Eastern Cape,0
2020-02-11,Free State,0
2020-02-11,Unknown,0
2020-02-11,North West,0
2020-02-11,Mpumalanga,0
2020-02-11,Limpopo,0
2020-02-11,Northern Cape,0
2020-02-12,Gauteng,0
2020-02-12,Western Cape,0
2020-02-12,KwaZulu-Natal,0
2020-02-12,Eastern Cape,0
2020-02-12,Free State,0
2020-02-12,Unknown,0
2020-02-12,North West,0
2020-02-12,Mpumalanga,0
2020-02-12,Limpopo,0
2020-02-12,Northern Cape,0
2020-02-13,Gauteng,0
2020-02-13,Western Cape,0
2020-02-13,KwaZulu-Natal,0
2020-02-13,Eastern Cape,0
2020-02-13,Free State,0
2020-02-13,Unknown,0
2020-02-13,North West,0
2020-02-13,Mpumalanga,0
2020-02-13,Limpopo,0
2020-02-13,Northern Cape,0
2020-02-14,Gauteng,0
2020-02-14,Western Cape,0
2020-02-14,KwaZulu-Natal,0
2020-02-14,Eastern Cape,0
2020-02-14,Free State,0
2020-02-14,Unknown,0
2020-02-14,North West,0
2020-02-14,Mpumalanga,0
2020-02-14,Limpopo,0
2020-02-14,Northern Cape,0
2020-02-15,Gauteng,0
2020-02-15,Western Cape,0
2020-02-15,KwaZulu-Natal,0
2020-02-15,Eastern Cape,0
2020-02-15,Free State,0
2020-02-15,Unknown,0
2020-02-15,North West,0
2020-02-15,Mpumalanga,0
2020-02-15,Limpopo,0
2020-02-15,Northern Cape,0
2020-02-16,Gauteng,0
2020-02-16,Western Cape,0
2020-02-16,KwaZulu-Natal,0
2020-02-16,Eastern Cape,0
2020-02-16,Free State,0
2020-02-16,Unknown,0
2020-02-16,North West,0
2020-02-16,Mpumalanga,0
2020-02-16,Limpopo,0
2020-02-16,Northern Cape,0
2020-02-17,Gauteng,0
2020-02-17,Western Cape,0
2020-02-17,KwaZulu-Natal,0
2020-02-17,Eastern Cape,0
2020-02-17,Free State,0
2020-02-17,Unknown,0
2020-02-17,North West,0
2020-02-17,Mpumalanga,0
2020-02-17,Limpopo,0
2020-02-17,Northern Cape,0
2020-02-18,Gauteng,0
2020-02-18,Western Cape,0
2020-02-18,KwaZulu-Natal,0
2020-02-18,Eastern Cape,0
2020-02-18,Free State,0
2020-02-18,Unknown,0
2020-02-18,North West,0
2020-02-18,Mpumalanga,0
2020-02-18,Limpopo,0
